Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Trivago NV ADR,Communication Services,Internet Content & Information,Germany,NASD,-,14.99,0.20,0.83%,23.12M,4.27%,67.74M,32.28,0.09,0.00%,22.93M,-0.34%,-57.46M,0.64,-0.07,30.34%,0.17%,0.34%,14.18M,0.11,57.48%,0.08%,0.81,-14.58%,621.59M,5.83,66.55%,3.68%,0.04M,1.03%,0.50,0.40,50.52%,6.23%,5.83 -49.74%,-37.92%,7.26,18.56,- -,4.88%,2.63 11.41%,-14.91%,-,-5.47,3.28% 16.90%,96.14%,4.51%,2.62%,-71.57%,-,-0.09,153.97%,0.60%,0.09,-,"Nov 14, 2023",2.22,24.49%,2.28%,56.66,3.00,- -,2.22,207.54%,2.64%,0.75,3.94,0.00%,0.17,38.11%,1.93%,0.74,2.83,893,0.16,Feb 03 AMC,-8.80%,47.90K,2.93,"Dec 16, 2016",Yes / Yes,275.40% 12.35%,"

","35,240",3.53%,TRVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers Companies Inc,Financial,Insurance - Property & Casualty,USA,NYSE,"DJIA, S&P 500",10.57,27.53,0.50%,217.50M,-1.92%,62.95B,10.29,28.30,-17.52%,215.15M,-4.47%,-,7.30,6.80,88.17%,1.86%,-0.45%,6.24B,1.29,-1.58%,-1.68%,2.47,5.23%,48.83B,1.92,4.21%,4.83%,4.01M,0.37%,151.24,-,1.41%,20.70%,313.12 -7.02%,11.01%,-,5.94,32.56% 21.13%,14.78%,230.43 26.34%,76.54%,4.57 (1.57%),-,9.80% 8.83%,-,1.88%,1.95%,89.49%,4.40 (1.51%),-,28.36%,16.84%,5.94,152.30%,"Mar 10, 2026",-,5.18%,12.78%,36.53,2.50,5.83% 5.24%,0.44,23.42%,-3.58%,0.52,305.83,15.86%,0.29,3.53%,-1.26%,0.69,290.59,34000,0.28,Apr 16 BMO,4.25%,1.62M,291.13,"Nov 17, 1975",Yes / Yes,26.50% -2.40%,"

","1,122,217",0.19%,TRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trupanion Inc,Financial,Insurance - Property & Casualty,USA,NASD,RUT,58.31,0.45,20.61%,43.40M,2.08%,1.13B,37.96,0.69,-0.79%,34.48M,-2.47%,-,2.39,0.07,74.62%,10.48%,-31.09%,19.43M,0.79,10.37%,-4.28%,7.68,-38.60%,1.44B,2.94,38.12%,2.26%,3.61M,-30.32%,8.85,-,15.87%,5.50%,57.88 -55.01%,-31.29%,-,15.01,- -,4.00%,24.32 7.07%,-32.10%,-,-,16.72% 23.45%,-,4.39%,4.72%,-65.77%,-,-,297.57%,1.06%,1.30,178.21%,-,-,11.95%,1.35%,43.73,2.00,- -,1.69,231.28%,-0.69%,1.68,46.25,0.00%,0.29,11.72%,-10.57%,0.56,25.50,1121,0.27,Feb 12 AMC,-35.37%,470.21K,26.04,"Jul 18, 2014",Yes / Yes,-19.85% 0.36%,"

","261,976",2.12%,TRUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransUnion,Financial,Financial Data & Stock Exchanges,USA,NYSE,-,29.47,2.32,1.34%,192.40M,-4.84%,13.14B,12.31,5.54,-0.81%,190.02M,-8.09%,17.55B,0.81,1.10,107.03%,4.54%,-21.40%,455.50M,2.87,11.19%,-4.01%,3.16,-21.64%,4.58B,2.96,15.92%,4.12%,8.62M,-20.42%,23.07,15.35,15.12%,10.52%,99.39 -31.34%,-20.37%,4.45,19.87,20.09% 5.34%,4.86%,65.24 4.61%,16.23%,0.50 (0.73%),11.59,7.25% 12.58%,46.53%,4.94%,4.62%,-26.30%,0.47 (0.69%),3.84,60.13%,20.54%,3.46,157.12%,"Feb 26, 2026",1.75,9.38%,9.95%,37.52,1.43,4.77% 8.92%,1.75,54.75%,-6.96%,1.72,94.00,19.86%,1.16,12.98%,-9.97%,0.55,67.72,13500,1.11,Feb 12 BMO,-18.53%,2.73M,68.24,"Jun 25, 2015",Yes / Yes,4.11% 3.47%,"

","1,513,217",0.77%,TRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimas Corporation,Consumer Cyclical,Packaging & Containers,USA,NASD,RUT,12.32,2.97,22.63%,37.63M,7.36%,1.38B,17.61,2.08,0.03%,29.13M,-0.62%,1.85B,-,0.19,97.20%,15.39%,2.49%,120.14M,1.47,-24.81%,-7.39%,9.51,-5.25%,941.18M,1.95,32.36%,7.92%,4.48M,3.30%,18.75,45.93,-,16.21%,42.00 -12.81%,52.97%,0.80,19.95,23.65% -,9.96%,19.45 88.28%,35.43%,-,15.39,-9.93% -3.46%,22.77%,2.66%,4.49%,18.09%,0.16 (0.44%),1.97,405.11%,6.74%,1.38,111.31%,"Feb 27, 2026",1.93,1.75%,12.76%,52.53,1.50,0.00% -,2.52,1377.85%,0.09%,0.59,45.00,5.43%,0.72,-31.82%,1.83%,0.71,37.17,3700,0.71,Feb 26 BMO,5.01%,471.29K,36.62,"May 18, 2007",Yes / Yes,81.00% -19.42%,"

","333,479",-1.48%,TRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Energy Corporation,Energy,Oil & Gas Midstream,Canada,NYSE,-,27.28,2.33,0.17%,1.04B,-0.81%,66.30B,22.29,2.86,0.00%,1.04B,0.70%,118.95B,3.67,0.74,74.65%,1.82%,14.04%,2.43B,6.10,5.99%,-6.22%,7.62,18.92%,10.87B,3.63,4.70%,3.16%,18.88M,15.76%,17.55,348.22,6.08%,13.64%,65.57 -2.88%,31.43%,0.18,44.43,67.85% -7.92%,3.91%,43.59 46.10%,84.51%,2.57 (4.04%),17.55,-0.21% 2.60%,49.95%,1.99%,1.78%,46.43%,2.45 (3.85%),10.95,-27.87%,44.15%,1.15,84.95%,"Mar 31, 2026",0.56,-5.97%,22.35%,55.56,2.21,-4.27% 0.08%,0.63,0.93%,-0.37%,0.71,64.65,104.00%,2.22,1.72%,4.18%,1.30,64.05,6668,2.12,Feb 13 BMO,17.97%,2.48M,63.68,"Sep 20, 1982",Yes / Yes,7.86% 2.28%,"

","3,229,048",-0.58%,TRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronox Holdings plc,Basic Materials,Chemicals,USA,NYSE,RUT,-,-2.97,27.09%,158.56M,22.25%,1.43B,-,-0.20,-0.45%,115.60M,25.14%,4.69B,-,-0.45,71.60%,18.47%,113.00%,-470.00M,0.49,33.02%,-0.52%,5.35,104.31%,2.89B,1.01,79.61%,-7.67%,21.36M,116.07%,8.94,6.77,59.67%,-29.57%,9.09 -0.88%,26.72%,1.33,-,- -,-10.00%,2.86 215.03%,-33.94%,0.10 (1.11%),22.44,-5.77% 0.87%,7.98%,9.72%,8.68%,-49.21%,0.28 (3.05%),1.62,-875.49%,-3.94%,0.64,55.88%,"Feb 23, 2026",0.67,-5.86%,-16.25%,67.55,2.20,-11.21% 4.56%,2.46,-484.62%,22.21%,0.99,7.35,-,2.43,7.41%,27.39%,1.03,8.93,5750,2.31,Feb 18 AMC,78.56%,3.99M,9.01,"Dec 01, 2010",Yes / Yes,-31.64% 3.10%,"

","4,119,107",0.90%,TROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Rowe Price Group Inc,Financial,Asset Management,USA,NASD,S&P 500,9.76,9.25,1.92%,218.56M,3.61%,19.68B,8.92,10.11,-0.10%,213.89M,-5.29%,17.96B,13.73,2.45,85.38%,11.46%,-13.27%,2.04B,2.69,3.00%,4.34%,10.93,-12.78%,7.31B,1.82,1.00%,14.41%,24.52M,-11.87%,49.69,5.82,0.65%,19.21%,118.22 -23.68%,-4.46%,15.49,7.95,11.32% -1.52%,18.07%,77.85 15.90%,-17.71%,5.17 (5.73%),6.00,4.08% 3.34%,78.89%,2.46%,2.28%,-48.56%,5.11 (5.66%),2.46,0.90%,35.40%,2.28,26.37%,"Mar 16, 2026",3.10,3.12%,27.84%,46.57,3.53,1.91% 7.13%,3.10,3.42%,0.47%,1.54,98.75,54.95%,0.04,6.01%,-5.81%,1.34,89.58,7773,0.04,Feb 04 BMO,-11.07%,2.24M,90.23,"Apr 02, 1986",Yes / Yes,-0.68% 0.31%,"

","3,010,355",0.73%,TROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terreno Realty Corp,Real Estate,REIT - Industrial,USA,NYSE,RUT,15.86,3.89,2.22%,103.57M,-0.18%,6.44B,41.93,1.47,-0.51%,101.86M,-6.78%,7.47B,-,0.32,106.39%,5.74%,3.33%,401.19M,13.51,-65.27%,-0.20%,8.11,7.91%,476.38M,1.54,8.22%,7.90%,5.85M,5.23%,40.03,251.51,-26.29%,10.28%,66.74 -7.43%,-3.42%,0.25,30.87,14.40% 27.38%,7.78%,48.18 28.23%,0.27%,2.13 (3.45%),23.83,19.92% 21.29%,50.32%,2.34%,2.16%,4.87%,2.02 (3.27%),15.69,104.06%,40.32%,1.42,176.90%,"Mar 27, 2026",0.18,24.51%,84.22%,43.31,1.94,4.11% 8.32%,0.18,99.14%,-1.81%,1.14,69.88,42.81%,0.26,32.56%,-2.58%,0.74,61.66,47,0.24,Feb 11,3.48%,720.68K,61.78,"Feb 10, 2010",Yes / Yes,27.15% 0.20%,"

","535,058",0.19%,TRNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trinity Industries, Inc",Industrials,Railroads,USA,NYSE,RUT,10.20,3.08,1.37%,79.80M,5.85%,2.51B,13.99,2.25,0.00%,78.74M,-8.76%,7.81B,-,0.34,90.37%,4.73%,12.63%,253.10M,1.16,-36.30%,1.99%,4.60,13.12%,2.16B,2.33,12.50%,3.02%,3.72M,19.02%,13.50,7.76,-,24.37%,35.62 -11.65%,7.15%,4.05,-,57.50% -,4.58%,22.38 40.62%,35.47%,1.18 (3.75%),11.72,2.94% 4.27%,26.67%,2.63%,2.83%,8.82%,1.21 (3.84%),3.62,87.25%,16.74%,0.94,136.08%,"Apr 15, 2026",0.44,-29.95%,11.73%,51.29,3.00,8.40% 9.18%,0.73,567.02%,-0.16%,1.46,33.50,39.63%,5.15,-2.89%,1.42%,0.61,31.67,6110,4.13,Feb 12 BMO,11.36%,809.79K,31.47,"Jun 28, 1972",Yes / Yes,1.32% 7.14%,"

","494,457",-0.63%,TRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trustmark Corp,Financial,Banks - Regional,USA,NASD,RUT,11.43,3.70,7.31%,59.01M,3.32%,2.49B,10.40,4.07,-0.19%,54.55M,-3.97%,-,-,0.88,75.59%,4.05%,4.83%,224.13M,2.26,2.88%,0.25%,5.76,4.78%,1.10B,1.18,6.83%,1.20%,2.21M,8.60%,35.95,-,-,10.98%,45.43 -6.89%,19.90%,-,9.86,46.80% 8.05%,8.87%,29.77 42.09%,67.19%,0.98 (2.33%),-,12.67% 11.03%,-,2.40%,2.91%,21.55%,0.97 (2.29%),-,4530.27%,24.18%,1.20,85.53%,"Feb 27, 2026",-,14.18%,20.39%,52.26,2.33,1.43% 0.85%,0.05,5.21%,1.07%,0.64,45.20,25.93%,0.51,-4.77%,-0.57%,0.73,42.08,2543,0.19,Jan 27 AMC,6.78%,383.27K,42.30,"Mar 17, 1980",Yes / Yes,6.39% 1.36%,"

","278,462",0.52%,TRMK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torm Plc,Energy,Oil & Gas Midstream,United Kingdom,NASD,-,9.57,2.84,40.08%,101.33M,3.11%,2.77B,10.59,2.57,0.00%,61.14M,-1.98%,3.61B,-,1.24,17.64%,2.13%,40.23%,285.30M,2.07,17.01%,-1.77%,1.69,23.59%,1.34B,1.25,-24.62%,8.35%,1.30M,38.87%,21.74,16.97,-11.90%,13.34%,31.76 -14.39%,53.79%,1.60,14.44,-25.13% 19.63%,9.78%,13.60 99.93%,-17.71%,3.21 (11.82%),6.55,-2.46% 12.44%,33.66%,3.83%,3.83%,189.56%,2.12 (7.80%),2.70,-55.97%,25.17%,1.09,-,"Mar 12, 2026",1.16,-14.10%,21.30%,52.51,2.00,-23.41% 20.46%,1.33,9.52%,-1.25%,-0.01,30.20,71.48%,0.46,15.46%,4.87%,1.64,27.65,481,0.32,Feb 26 BMO,24.73%,768.72K,27.19,"Feb 23, 2018",Yes / Yes,4.72% 6.28%,"

","1,258,264",-1.66%,TRMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimble Inc,Technology,Scientific & Technical Instruments,USA,NASD,S&P 500,37.19,1.76,0.36%,236.00M,-1.84%,15.31B,16.19,4.04,-6.08%,233.09M,-2.52%,16.63B,1.02,0.72,99.08%,2.03%,-18.70%,424.00M,4.27,13.40%,-2.01%,2.31,-18.06%,3.59B,2.65,13.92%,4.51%,4.72M,-16.46%,24.73,62.65,15.83%,7.32%,87.50 -25.20%,-5.06%,1.04,42.42,-0.78% 2.58%,5.75%,52.91 23.70%,32.38%,-,20.03,-0.81% 2.65%,66.10%,2.40%,2.95%,-12.38%,-,4.64,-71.05%,17.57%,2.09,166.82%,-,0.96,-2.61%,11.82%,42.25,1.31,- -,1.09,79.69%,-3.02%,1.54,91.00,0.00%,0.27,-1.38%,-3.97%,0.69,65.87,11500,0.26,Feb 10 BMO,-14.96%,2.04M,65.45,"Jul 20, 1990",Yes / Yes,4.11% 2.08%,"

","1,420,392",-0.64%,TRMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TripAdvisor Inc,Consumer Cyclical,Travel Services,USA,NASD,RUT,33.26,0.30,7.49%,114.47M,7.10%,1.14B,5.77,1.73,-0.33%,106.16M,-1.29%,1.36B,0.26,-0.05,108.85%,28.14%,-28.93%,40.00M,0.60,18.04%,-1.56%,8.72,-41.37%,1.89B,1.77,15.13%,1.54%,29.87M,-31.66%,5.63,1.10,22.34%,5.04%,20.16 -50.64%,-34.06%,9.02,7.00,31.62% -,2.62%,9.01 10.43%,-46.07%,-,6.45,8.22% 25.64%,57.17%,6.72%,5.31%,-82.13%,-,0.72,890.32%,6.27%,0.57,-82.02%,"Nov 19, 2019",1.29,3.05%,2.12%,46.66,3.00,- -,1.29,-4847.83%,1.28%,0.95,13.75,0.00%,1.94,0.00%,-11.33%,1.20,9.51,2590,1.37,Feb 12 BMO,-32.68%,3.42M,9.95,"Dec 07, 2011",Yes / Yes,-72.66% -0.33%,"

","4,092,808",4.63%,TRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Capital Inc,Financial,Asset Management,USA,NASD,-,7.41,1.96,4.41%,81.52M,-0.75%,1.21B,6.96,2.09,1.60%,79.51M,-5.65%,2.49B,-,0.52,24.91%,7.80%,-4.44%,135.61M,5.20,-0.34%,-,4.48,-8.04%,232.25M,1.08,0.76%,6.37%,6.20M,-0.82%,13.42,63.24,-3.49%,14.15%,17.20 -15.53%,-9.81%,0.23,10.60,- -,5.66%,12.50 16.24%,7.29%,2.04 (14.04%),11.53,9.20% 38.51%,100.00%,2.28%,2.25%,6.77%,2.04 (14.04%),10.73,-8.61%,93.07%,0.34,-,"Apr 15, 2026",0.43,1.67%,58.39%,42.91,1.60,5.65% -,0.43,-30.52%,-1.11%,0.61,16.75,104.23%,1.19,-37.36%,-6.17%,0.64,14.63,106,1.19,Feb 25 BMO,-4.55%,1.38M,14.53,"Jan 29, 2021",Yes / Yes,0.72% 3.68%,"

","883,094",-0.68%,TRIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson-Reuters Corp,Industrials,Specialty Business Services,Canada,NASD,NDX,27.13,3.33,69.83%,444.96M,-3.09%,40.20B,18.03,5.01,0.00%,134.19M,-9.06%,42.16B,1.40,1.19,22.30%,8.30%,-32.07%,1.50B,5.38,12.40%,0.80%,4.21,-42.69%,7.48B,3.41,13.79%,8.15%,11.14M,-31.47%,26.53,77.60,12.91%,12.40%,218.42 -58.62%,-47.46%,1.16,19.89,6.55% 8.16%,11.15%,79.71 13.39%,-28.92%,2.58 (2.86%),14.46,4.10% 4.55%,26.57%,4.22%,4.84%,2.07%,2.44 (2.70%),5.64,-31.93%,26.57%,4.62,128.90%,"Feb 17, 2026",0.60,3.00%,20.04%,39.66,1.55,10.53% 9.47%,0.61,-42.88%,-8.22%,0.85,132.62,71.52%,0.20,5.24%,-10.26%,0.68,87.40,27100,0.13,Feb 05 BMO,-39.12%,2.65M,90.38,"Jun 12, 2002",Yes / Yes,0.68% 0.47%,"

","1,802,083",3.41%,TRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targa Resources Corp,Energy,Oil & Gas Midstream,USA,NYSE,S&P 500,29.43,8.51,1.65%,214.66M,4.58%,53.85B,22.12,11.32,-3.56%,211.41M,8.85%,71.18B,1.45,2.48,94.76%,2.17%,35.56%,1.84B,3.13,17.33%,1.65%,3.23,45.48%,17.19B,17.53,13.01%,7.33%,4.59M,35.77%,14.29,167.85,15.24%,65.06%,250.00 0.20%,23.99%,1.49,92.19,29.82% -,9.29%,144.14 73.79%,271.00%,5.00 (2.00%),14.19,-7.45% 15.75%,22.50%,2.76%,2.83%,671.96%,4.00 (1.60%),4.14,47.83%,20.36%,6.50,792.41%,"Jan 30, 2026",0.55,3.38%,10.71%,69.67,1.52,38.88% 25.39%,0.67,74.06%,4.52%,0.83,253.67,44.17%,5.71,-9.22%,13.37%,1.04,245.46,3570,5.46,Feb 19 BMO,37.99%,1.42M,250.50,"Dec 07, 2010",Yes / Yes,10.36% -14.25%,"

","1,476,554",2.05%,TRGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TREX Co., Inc",Industrials,Building Products & Equipment,USA,NYSE,-,20.67,1.77,0.72%,105.74M,-0.27%,3.88B,19.92,1.84,3.74%,104.97M,-12.04%,4.06B,3.42,0.51,100.36%,8.68%,4.17%,190.41M,3.30,-12.46%,-7.56%,4.56,-27.71%,1.17B,3.75,11.88%,13.36%,9.11M,4.56%,9.78,1017.96,5.83%,20.21%,68.78 -46.67%,-39.95%,0.04,28.83,2.52% 3.31%,17.70%,29.77 23.21%,-20.76%,-,12.66,2.02% 5.92%,39.17%,3.57%,3.90%,-59.86%,-,3.46,-14.85%,21.97%,1.54,218.89%,-,0.29,1.98%,16.22%,37.99,2.22,- -,1.24,-76.29%,-3.45%,1.60,48.70,0.00%,0.18,-3.88%,-9.95%,0.63,37.30,1839,0.04,Feb 24 AMC,-23.62%,2.00M,36.68,"Apr 08, 1999",Yes / Yes,361.44% 11.57%,"

","1,260,427",-1.66%,TREX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tootsie Roll Industries, Inc",Consumer Defensive,Confectioners,USA,NYSE,RUT,31.23,1.33,76.67%,42.96M,1.39%,2.88B,-,-,0.00%,17.54M,2.43%,2.72B,-,-,18.02%,13.76%,14.78%,100.05M,3.93,-,-,17.81,4.51%,732.52M,3.32,-,8.33%,2.41M,17.03%,12.54,16.28,-,11.05%,43.40 -4.10%,36.74%,2.56,29.91,10.77% 12.40%,10.50%,28.28 47.16%,1.63%,-,22.31,2.16% 9.23%,35.53%,2.71%,3.25%,43.60%,0.35 (0.83%),3.71,16.13%,14.03%,1.28,66.27%,"Mar 05, 2026",2.50,1.29%,13.66%,55.44,-,3.03% 3.13%,3.27,28.56%,0.08%,0.50,-,26.04%,0.01,1.50%,5.16%,0.83,41.72,2100,0.01,-,10.03%,135.54K,41.62,"Jan 01, 1919",Yes / Yes,- -,"

","112,350",-0.24%,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Inc,Consumer Cyclical,Luxury Goods,USA,NYSE,S&P 500,58.61,2.41,0.50%,202.70M,-0.97%,28.63B,19.74,7.16,-21.85%,201.46M,-9.88%,31.50B,1.21,1.28,97.55%,5.95%,9.25%,522.30M,3.81,27.39%,-1.78%,5.20,24.68%,7.51B,52.00,10.26%,7.58%,11.99M,10.68%,2.72,26.57,16.38%,55.34%,161.97 -12.69%,91.92%,5.32,17.43,-36.20% -,12.54%,58.39 142.18%,251.33%,1.57 (1.11%),17.36,1.60% 7.16%,72.26%,3.47%,3.37%,238.30%,1.55 (1.10%),4.19,-27.05%,20.77%,5.34,265.59%,"Mar 06, 2026",1.10,10.90%,6.95%,44.58,2.08,11.87% 6.75%,1.63,93.84%,-3.34%,1.60,164.88,170.03%,7.15,13.98%,-1.41%,0.81,146.18,19000,6.55,Feb 05 BMO,20.76%,2.30M,141.41,"Oct 05, 2000",Yes / Yes,21.06% 7.69%,"

","1,863,917",-3.26%,TPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Pacific Land Corporation,Energy,Oil & Gas E&P,USA,NYSE,S&P 500,74.89,6.97,0.28%,68.94M,-1.92%,36.01B,53.43,9.78,-0.76%,68.75M,2.35%,35.88B,-,1.88,73.21%,6.00%,75.66%,481.38M,45.11,18.51%,0.57%,8.16,67.58%,798.19M,24.68,18.34%,33.24%,4.13M,81.84%,21.16,247.64,-,37.15%,547.20 -4.55%,15.31%,2.11,74.81,2.80% 22.56%,32.63%,269.23 93.99%,188.58%,2.40 (0.46%),54.80,6.15% 21.41%,85.46%,3.71%,3.96%,205.63%,2.20 (0.42%),44.95,6.06%,74.19%,20.83,3321.97%,"Mar 02, 2026",4.40,13.09%,60.31%,59.00,2.75,17.00% 13.92%,4.40,4.25%,-1.11%,0.71,486.33,30.59%,0.01,13.88%,16.88%,0.66,530.36,114,0.01,Feb 18 AMC,50.32%,505.48K,522.28,"Jan 01, 1927",Yes / Yes,-0.13% 1.97%,"

","335,752",-1.52%,TPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri Pointe Homes Inc,Consumer Cyclical,Residential Construction,USA,NYSE,RUT,17.18,2.72,3.90%,84.48M,0.15%,3.97B,17.97,2.60,-1.48%,81.81M,0.63%,4.27B,-,0.20,102.09%,5.03%,47.18%,241.09M,1.14,-19.14%,-1.62%,1.66,38.40%,3.47B,1.19,18.06%,4.84%,4.11M,48.30%,39.25,4.04,-,7.25%,46.76 -0.19%,42.68%,11.54,30.91,-21.12% 4.59%,5.37%,27.90 67.28%,88.79%,-,11.95,-7.24% 1.26%,21.64%,0.23%,0.26%,123.62%,-,1.23,-43.96%,9.43%,0.34,312.64%,-,3.54,-22.75%,6.95%,81.99,3.17,- -,12.68,-48.88%,0.46%,1.31,47.00,0.00%,0.39,-22.43%,12.38%,1.13,46.72,1579,0.35,Feb 25 BMO,32.67%,2.48M,46.67,"Jan 31, 2013",Yes / Yes,-10.49% 3.29%,"

","2,796,267",-0.11%,TPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Inc,Financial,Asset Management,USA,NASD,-,90.31,0.45,10.47%,153.11M,-2.02%,15.47B,10.86,3.71,0.00%,137.62M,-9.85%,20.00B,0.52,0.65,91.37%,5.28%,-38.40%,129.34M,3.31,22.47%,0.02%,2.01,-33.42%,4.67B,5.20,25.67%,1.08%,7.26M,-36.90%,7.74,18.44,20.83%,13.14%,70.38 -42.77%,-21.53%,2.18,-,- -49.33%,3.69%,37.52 7.36%,41.28%,2.47 (6.14%),24.02,34.58% 17.18%,96.91%,4.11%,4.72%,-,2.06 (5.11%),4.28,6716.41%,14.73%,2.10,-,"Feb 19, 2026",1.47,33.56%,2.77%,35.75,1.56,22.01% -,1.47,596.59%,-3.45%,1.54,62.47,441.18%,2.04,38.74%,-18.64%,0.43,40.69,1900,1.96,Feb 05 BMO,-28.59%,3.62M,40.28,"Jan 13, 2022",Yes / Yes,11.06% 2.29%,"

","1,565,258",-1.00%,TPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutor Perini Corp,Industrials,Engineering & Construction,USA,NYSE,RUT,50.57,1.51,14.59%,52.79M,5.43%,4.02B,15.48,4.93,1.05%,45.09M,-11.45%,3.54B,-,0.49,80.09%,4.33%,11.06%,80.44M,0.73,119.51%,-0.53%,3.10,17.69%,5.54B,3.30,48.60%,1.71%,1.95M,13.76%,23.08,4.03,-,6.84%,89.51 -14.83%,204.35%,18.93,7.10,- -6.63%,4.84%,18.33 315.82%,1192.20%,0.24 (0.31%),12.57,13.50% 0.83%,11.68%,4.97%,5.69%,319.13%,0.12 (0.16%),0.64,148.94%,4.18%,4.01,401.58%,"Mar 10, 2026",1.27,28.11%,1.45%,52.81,1.00,- -,1.27,135.41%,5.55%,2.12,109.60,3.98%,0.39,41.19%,-1.52%,0.70,78.37,7400,0.36,Feb 26 AMC,19.01%,629.47K,76.24,"May 12, 1970",Yes / Yes,-6.46% 10.99%,"

","440,416",-2.72%,TPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turning Point Brands Inc,Consumer Defensive,Tobacco,USA,NYSE,RUT,27.05,3.13,6.37%,19.13M,-1.04%,1.62B,22.19,3.81,-7.53%,17.92M,-40.86%,1.72B,-,0.65,101.03%,7.28%,-20.97%,58.16M,3.50,2.09%,0.30%,3.49,-12.82%,463.06M,4.57,20.00%,9.25%,1.30M,-21.99%,18.52,7.27,-,21.45%,146.90 -42.44%,43.03%,11.64,44.27,68.87% 10.94%,8.83%,51.48 64.25%,310.09%,0.32 (0.38%),15.32,3.72% 2.71%,57.08%,4.91%,5.47%,61.78%,0.30 (0.36%),3.72,42.23%,22.65%,5.20,-,"Mar 20, 2026",3.74,14.38%,12.56%,28.16,1.40,7.72% 8.45%,5.56,212.88%,-10.07%,1.00,132.50,9.66%,0.87,29.19%,-25.58%,0.85,88.39,484,0.86,Mar 02 BMO,-13.89%,373.47K,84.56,"May 11, 2016",Yes / Yes,-51.72% 0.48%,"

","317,366",-4.33%,TPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
