Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Volatility W,Volatility M,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker,Category,Asset Type,Tags,Return% 1Y,Total Holdings,Sponsor,ETF Type,Return% 3Y,AUM,Fund Family,Bond Type,Return% 5Y,NAV/sh,Average Maturity,Return% 10Y,Index Weighting,Commodity Type,Return% SI,Active/Passive,Quant Type,Flows% 1M,ESG Type,Flows% 3M,Dividend Type,Sector/Theme,Flows% YTD,Structure Type,Region,Flows% 1Y,Expense,Growth/Value,Flows% 3Y,Inverse/Leveraged,Flows% 5Y
Proto Labs Inc,Industrials,Metal Fabrication,USA,NYSE,RUT,67.93,0.88,1.53%,23.63M,5.10%,1.42B,30.07,1.98,-2.82%,23.41M,-5.75%,1.29B,-,0.40,92.78%,2.31%,14.37%,21.24M,2.66,9.24%,0.52%,2.99,16.84%,533.13M,2.09,9.33%,2.74%,0.54M,17.83%,28.52,11.06,-,3.16%,68.91 -13.50%,61.02%,5.39,23.76,- -14.26%,3.14%,29.58 101.49%,88.64%,-,21.53,2.96% 4.18%,44.48%,3.78%,3.97%,-48.25%,-,2.42,35.46%,4.91%,2.51,-21.70%,-,3.27,6.44%,3.98%,53.36,2.00,- -,3.49,1604.24%,1.44%,1.30,71.67,0.00%,0.00,12.11%,1.67%,0.88,58.03,2280,0.00,Feb 06 BMO,18.23%,181.04K,59.61,"Feb 24, 2012",Yes / Yes,25.11% 5.81%,"

","159,036",2.72%,PRLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Parks & Resorts Inc,Consumer Cyclical,Leisure,USA,NYSE,RUT,10.18,3.04,2.69%,51.09M,-5.95%,1.51B,7.23,4.28,-0.55%,47.32M,-9.01%,3.76B,0.56,-0.32,137.91%,13.15%,-10.59%,168.35M,0.91,24.45%,-9.16%,5.52,-39.33%,1.66B,-,12.48%,6.49%,6.22M,-14.63%,-8.53,15.11,12.94%,-,56.95 -45.58%,-39.20%,2.05,9.27,-9.59% -,8.87%,29.62 4.63%,-44.60%,-,6.69,-1.34% 30.95%,37.04%,3.59%,4.80%,-35.03%,-,2.26,-21.15%,23.34%,1.56,55.11%,-,0.60,-3.64%,10.13%,39.05,2.38,- -,0.74,-44.17%,-6.29%,1.20,42.42,0.00%,-,-2.82%,-11.99%,0.67,31.87,3300,-,Feb 26 BMO,-27.65%,1.13M,30.99,"Apr 19, 2013",Yes / Yes,-49.10% -0.52%,"

","755,209",-2.76%,PRKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park National Corp,Financial,Banks - Regional,USA,AMEX,RUT,14.19,11.11,2.99%,18.07M,0.91%,2.85B,12.89,12.24,0.00%,17.53M,-4.90%,-,-,2.67,48.72%,1.65%,-2.70%,180.07M,4.29,4.29%,0.56%,3.74,-4.23%,664.40M,1.88,4.22%,1.84%,0.29M,3.67%,84.14,-,-,13.87%,178.50 -11.62%,1.43%,-,15.21,7.03% 7.35%,13.17%,136.84 15.29%,29.89%,4.31 (2.73%),-,9.76% 6.66%,-,2.73%,2.82%,24.10%,4.29 (2.72%),-,19.18%,33.31%,4.89,80.14%,"Feb 20, 2026",-,2.94%,27.10%,43.31,3.00,0.95% 0.96%,0.09,11.06%,-1.89%,0.72,178.17,38.51%,0.07,2.25%,-4.33%,1.19,157.40,1694,0.01,Jan 26 AMC,-2.92%,77.49K,157.76,"Aug 31, 1990",Yes / Yes,4.64% 1.52%,"

","92,293",0.23%,PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primoris Services Corp,Industrials,Engineering & Construction,USA,NYSE,RUT,29.30,5.02,0.86%,54.05M,4.67%,7.95B,21.70,6.78,-5.46%,53.59M,-11.22%,8.36B,2.08,0.84,105.10%,5.18%,17.47%,274.98M,1.05,5.25%,12.15%,3.52,10.54%,7.57B,4.73,14.59%,6.39%,2.78M,18.46%,31.10,14.69,10.43%,17.79%,174.43 -15.69%,124.07%,10.01,23.35,26.56% 18.37%,11.38%,49.10 199.51%,513.77%,0.32 (0.22%),16.53,19.66% 16.75%,10.73%,5.29%,5.83%,363.91%,0.32 (0.22%),1.10,51.14%,5.46%,7.87,508.44%,"Mar 31, 2026",1.23,18.98%,3.63%,53.31,1.86,10.06% 5.92%,1.26,-4.25%,3.83%,1.40,169.47,6.38%,0.57,6.68%,-1.25%,0.79,142.59,18526,0.44,Feb 23 AMC,19.27%,789.15K,147.06,"Oct 26, 2006",Yes / Yes,9.88% 2.32%,"

","620,706",3.13%,PRIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primerica Inc,Financial,Insurance - Life,USA,NYSE,-,10.94,22.94,0.66%,31.81M,-0.69%,7.94B,9.58,26.20,-4.43%,31.45M,-0.86%,-,1.29,5.50,95.11%,3.74%,-3.06%,748.79M,2.37,4.60%,4.13%,5.35,-7.85%,3.35B,3.26,9.29%,6.17%,1.18M,-2.88%,76.89,-,7.41%,31.83%,296.00 -15.23%,-14.08%,-,9.02,22.94% 19.08%,17.58%,230.09 9.05%,54.46%,5.04 (2.01%),-,6.36% 8.05%,-,2.04%,2.43%,75.89%,4.32 (1.72%),-,67.55%,31.54%,6.52,478.93%,"Feb 23, 2026",-,5.63%,22.35%,46.07,2.20,23.66% 21.06%,1.92,23.10%,-1.06%,0.91,289.33,18.16%,0.74,8.03%,-2.82%,0.62,249.88,2833,0.74,Feb 11 AMC,-4.56%,219.98K,250.91,"Apr 01, 2010",Yes / Yes,7.94% 1.02%,"

","136,231",0.41%,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Progress Software Corp,Technology,Software - Infrastructure,USA,NASD,RUT,17.24,1.67,2.11%,42.34M,-14.46%,1.21B,4.83,5.96,-4.09%,41.22M,-29.58%,2.55B,1.89,1.57,109.30%,10.54%,-33.10%,73.13M,1.24,2.71%,-4.07%,4.50,-31.93%,977.83M,2.55,1.42%,2.93%,4.35M,-33.05%,11.30,12.77,2.56%,15.95%,65.50 -56.09%,-47.71%,2.25,5.42,-8.21% -1.14%,4.75%,30.74 -6.44%,-50.19%,-,7.81,17.55% 17.20%,70.15%,5.14%,5.27%,-31.23%,-,2.60,7.67%,17.84%,1.90,19.14%,"Aug 30, 2024",0.49,29.79%,7.48%,21.44,1.25,- -,0.49,2240.16%,-20.72%,0.67,65.50,0.00%,2.99,17.54%,-25.98%,1.29,31.28,2801,2.22,Mar 30 AMC,-35.73%,965.13K,28.76,"Jul 30, 1991",Yes / Yes,15.04% -0.10%,"

","1,240,305",-8.06%,PRGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,NYSE,-,-,-10.28,0.45%,137.60M,-6.41%,1.33B,3.95,2.44,1.23%,137.03M,-33.75%,4.61B,-,0.33,112.26%,12.53%,-27.14%,-1.43B,0.31,-17.09%,3.60%,5.56,-53.68%,4.25B,0.45,7.16%,-15.42%,17.17M,-30.75%,21.33,2.50,-1.04%,-38.66%,28.43 -66.10%,-65.25%,3.86,9.14,-114.32% -53.83%,-21.30%,9.23 4.50%,-71.52%,1.16 (11.98%),6.77,-1.50% 0.80%,35.16%,4.78%,5.51%,-77.26%,1.16 (12.03%),1.08,-761.90%,8.09%,0.57,-92.60%,"Mar 02, 2026",1.63,-2.75%,-33.51%,31.71,2.17,3.71% 5.21%,2.76,-3061.47%,-10.80%,0.52,16.00,-,1.30,-2.42%,-26.26%,1.22,9.57,8100,1.28,Feb 26 BMO,-49.25%,3.09M,9.64,"Dec 17, 1991",Yes / Yes,-1.76% 0.70%,"

","3,767,797",0.73%,PRGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROG Holdings Inc,Industrials,Rental & Leasing Services,USA,NYSE,RUT,7.99,3.59,3.06%,39.58M,-1.17%,1.14B,5.65,5.08,0.00%,38.36M,-24.78%,1.43B,0.24,0.80,104.96%,8.11%,-4.11%,146.79M,0.46,21.87%,4.97%,6.00,-18.48%,2.46B,1.52,18.81%,8.08%,3.11M,-2.61%,18.86,3.68,23.38%,18.08%,41.14 -30.19%,2.94%,7.80,3.50,23.63% -,10.88%,23.50 22.21%,25.09%,0.52 (1.81%),0.77,-2.48% -0.61%,34.32%,3.20%,4.03%,-33.92%,0.53 (1.85%),0.58,-21.48%,9.70%,1.39,41.96%,"Mar 12, 2026",4.91,-0.21%,5.97%,37.14,1.62,- 25.06%,11.22,-25.83%,-8.12%,1.81,43.86,14.48%,0.81,-7.82%,-12.62%,0.81,28.65,1235,0.81,Feb 18 BMO,-8.81%,519.03K,28.72,"Nov 04, 1982",Yes / Yes,24.66% -1.61%,"

","419,228",0.24%,PRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,USA,NASD,RUT,15.14,2.42,2.64%,62.48M,4.27%,2.29B,11.89,3.08,-13.71%,60.83M,15.13%,1.71B,-,0.79,98.99%,4.91%,24.86%,159.91M,2.70,18.18%,-0.21%,5.26,2.03%,846.10M,2.35,7.69%,12.65%,2.99M,24.82%,15.56,3.55,-,16.55%,38.02 -3.72%,44.76%,10.30,10.56,20.29% 6.75%,15.64%,24.05 52.22%,182.05%,-,7.18,6.77% 4.24%,71.73%,3.39%,3.36%,210.52%,0.58 (1.58%),2.02,9.66%,23.17%,1.12,724.55%,"Mar 02, 2026",5.03,24.20%,18.90%,69.20,1.00,- -,5.06,16.64%,6.15%,0.87,42.00,23.17%,0.06,19.96%,11.51%,1.08,35.83,6000,0.05,Feb 19 AMC,14.07%,567.96K,36.61,"Jan 29, 1998",Yes / Yes,10.20% 0.78%,"

","614,822",2.18%,PRDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procept BioRobotics Corp,Healthcare,Medical Devices,USA,NASD,RUT,-,-1.72,3.70%,56.32M,-8.26%,1.42B,-,-0.90,23.94%,54.30M,-8.26%,1.21B,-,-0.55,101.98%,11.76%,-21.71%,-95.57M,4.59,10.76%,-1.47%,4.03,-34.74%,308.05M,3.86,41.10%,-18.34%,6.39M,-20.22%,6.50,4.94,41.68%,-24.89%,66.85 -62.45%,-58.78%,5.08,-,4.30% -7.02%,-21.62%,19.35 29.72%,-15.46%,-,-,60.14% 109.04%,62.66%,4.84%,8.39%,-,-,3.92,2.21%,-33.71%,1.83,-,-,5.77,37.22%,-31.02%,43.81,1.73,- -,6.85,-52.00%,-2.91%,0.92,32.92,-,0.21,11.94%,-9.86%,0.64,26.02,888,0.21,Feb 25 AMC,-33.94%,1.59M,25.10,"Sep 15, 2021",Yes / Yes,-63.58% -18.54%,"

","1,014,376",-3.54%,PRCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praxis Precision Medicines Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-13.47,8.22%,27.85M,-2.88%,8.21B,-,-9.59,-1.66%,25.56M,-13.96%,7.61B,-,-3.60,101.07%,14.81%,7.96%,-303.27M,-,-11.81%,18.70%,7.45,509.66%,0.00M,8.45,36.39%,-42.68%,3.79M,-0.03%,34.85,13.69,-,-45.83%,356.00 -17.23%,681.36%,21.52,-,42.16% 13.34%,-34.54%,26.70 1003.56%,2304.03%,-,-,- -,-,5.26%,5.54%,-40.49%,-,-,-31.18%,-,17.80,-,-,10.22,-100.00%,-,42.01,1.44,- -,10.22,-19.16%,-5.18%,3.02,617.62,-,0.00,-100.00%,-5.89%,0.96,294.11,168,0.00,Feb 19 BMO,78.10%,508.21K,294.65,"Oct 16, 2020",Yes / Yes,-11.97% -100.00%,"

","489,971",0.18%,PRAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proassurance Corporation,Financial,Insurance - Property & Casualty,USA,NYSE,RUT,25.14,0.98,1.57%,51.41M,0.57%,1.27B,22.05,1.12,0.00%,50.61M,1.23%,-,-,0.27,105.92%,12.62%,2.49%,50.91M,1.16,-28.18%,-1.14%,11.11,3.83%,1.10B,0.94,-3.74%,1.00%,6.39M,2.24%,26.24,-,-,3.99%,24.77 -0.28%,6.65%,-,-,- -,2.86%,22.72 8.71%,38.69%,0.32 (1.30%),-,-0.30% 4.66%,-,0.59%,0.54%,-7.32%,-,-,-4.02%,9.09%,0.14,-41.71%,"Mar 28, 2023",-,-4.55%,4.64%,61.12,3.50,- -,0.31,103.80%,0.48%,0.03,25.00,0.00%,0.32,-7.05%,1.16%,2.10,24.64,972,0.32,Feb 23 AMC,3.05%,574.69K,24.70,"Sep 04, 1991",Yes / Yes,98.93% 0.62%,"

","1,208,580",0.24%,PRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permian Resources Holdings Inc,Energy,Oil & Gas E&P,USA,NYSE,-,16.56,1.25,14.63%,751.75M,6.05%,17.29B,12.19,1.70,-4.18%,693.24M,16.51%,22.09B,0.96,0.30,81.94%,3.24%,49.64%,937.74M,3.41,6.27%,-2.38%,1.81,54.56%,5.07B,1.51,24.69%,5.30%,22.49M,47.40%,13.67,112.52,12.72%,9.66%,20.41 1.32%,46.15%,0.18,32.11,-7.42% -,6.75%,10.01 106.59%,124.38%,0.64 (3.09%),6.31,33.45% 54.23%,32.72%,2.60%,3.15%,408.70%,0.61 (2.95%),4.36,-14.26%,29.04%,0.59,-,"Mar 17, 2026",0.78,1.29%,18.51%,75.28,1.32,128.94% -,0.78,52.76%,8.26%,0.61,22.39,46.90%,0.36,-9.78%,19.82%,1.37,19.92,515,0.35,Feb 25 AMC,42.11%,12.40M,20.68,"Apr 15, 2016",Yes / Yes,58.51% -9.21%,"

","16,952,372",3.82%,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perpetua Resources Corp,Basic Materials,Other Precious Metals & Mining,USA,NASD,RUT,-,-0.50,7.24%,121.87M,-17.90%,3.07B,-,-0.07,-1.68%,113.05M,-16.93%,2.62B,-,-0.04,74.58%,8.92%,-8.77%,-44.29M,-,-106.06%,8.86%,5.30,33.51%,0.00M,5.09,85.29%,-13.97%,10.08M,4.01%,4.94,6.88,-5.04%,-14.54%,37.37 -32.62%,125.83%,3.66,-,30.57% 13.04%,-8.32%,8.84 185.00%,601.39%,-,-,- -,-,6.65%,6.98%,284.43%,-,-,-128.69%,-,2.24,756.17%,-,42.25,-,-,33.47,1.00,- -,42.25,-342.46%,-19.70%,0.18,38.15,-,0.00,-,-18.52%,0.75,25.07,36,0.00,Nov 17 BMO,9.71%,1.90M,25.18,"Oct 07, 2011",Yes / Yes,-700.00% -,"

","1,421,597",0.44%,PPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Corp,Utilities,Utilities - Regulated Electric,USA,NYSE,-,-,-,-,-,-2.36%,27.89B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.57%,-,-,-,-,52.51 -4.61%,-,-,-,- -,-,48.75 2.75%,-,-,-,- -,-,1.76%,-,-,-,-,-,-,1.12,-,-,-,-,-,44.05,-,- -,-,-,-1.61%,-,-,-,-,-,-1.61%,0.07,49.79,-,-,-,-1.61%,1.26M,50.09,"Feb 24, 2026",No / Yes,- -,"

","86,448",0.60%,PPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Corp,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,23.34,1.59,0.18%,751.04M,-3.56%,27.84B,17.53,2.11,0.00%,749.94M,-0.54%,46.11B,2.17,0.61,87.24%,5.36%,8.08%,1.18B,3.08,7.70%,-0.56%,4.59,3.84%,9.04B,1.87,8.47%,2.73%,40.20M,5.83%,19.81,25.64,8.06%,8.15%,39.08 -5.18%,6.56%,1.45,-,17.91% -3.63%,3.59%,32.50 14.03%,38.39%,1.15 (3.11%),12.94,4.59% 10.56%,28.32%,2.08%,2.00%,30.40%,1.10 (2.97%),5.10,32.89%,23.65%,0.78,-0.35%,"Mar 10, 2026",0.74,6.85%,13.05%,45.18,1.81,7.39% -8.07%,0.86,49.50%,-2.69%,0.70,41.67,68.72%,1.30,2.85%,-0.02%,0.90,36.90,6546,1.21,Feb 20 BMO,2.80%,8.77M,37.06,"Sep 17, 1948",Yes / Yes,0.20% -6.05%,"

","7,888,315",0.43%,PPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPG Industries, Inc",Basic Materials,Specialty Chemicals,USA,NYSE,S&P 500,14.94,6.92,0.14%,223.43M,-0.46%,23.11B,11.97,8.64,-27.52%,223.19M,-17.50%,28.95B,1.56,1.70,90.13%,3.14%,0.72%,1.57B,1.46,4.53%,2.74%,3.14,-5.54%,15.88B,2.91,9.08%,7.57%,7.01M,0.94%,35.54,10.42,7.66%,21.34%,133.43 -22.49%,-8.46%,9.93,19.87,16.96% 9.22%,10.48%,90.24 14.61%,-17.55%,2.88 (2.79%),10.73,-3.47% 2.79%,37.88%,3.57%,3.23%,-30.20%,2.81 (2.72%),1.82,16.14%,13.55%,3.77,-5.08%,"Feb 20, 2026",1.22,-8.81%,9.90%,39.51,2.19,4.73% 5.77%,1.62,6137.21%,-4.84%,1.17,123.85,40.19%,0.99,4.96%,-10.19%,1.14,102.08,43500,0.89,Jan 27 AMC,-4.76%,2.23M,103.42,"Dec 17, 1945",Yes / Yes,-4.41% 3.54%,"

","2,540,360",1.31%,PPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,NASD,-,7.76,4.54,82.46%,237.55M,-5.65%,8.37B,8.84,3.98,-0.00%,41.67M,-14.08%,11.09B,-,0.75,19.39%,14.34%,-10.70%,1.08B,0.45,-21.89%,-3.04%,6.68,-14.49%,18.50B,2.27,-1.35%,10.31%,5.97M,-9.67%,15.49,13.07,-6.91%,27.33%,52.75 -33.24%,-18.13%,2.70,12.67,13.52% 63.80%,15.52%,34.72 1.44%,89.06%,1.27 (3.61%),5.08,1.94% 8.88%,12.50%,2.98%,2.97%,75.65%,-,0.60,-0.54%,9.53%,1.16,92.74%,"Aug 20, 2025",0.76,3.53%,5.85%,28.89,2.70,- -,1.47,-62.77%,-8.83%,0.49,44.25,0.00%,0.91,3.28%,-13.95%,0.82,34.97,63000,0.89,Feb 11 AMC,-14.79%,894.90K,35.22,"Nov 14, 1986",Yes / Yes,-17.64% 3.09%,"

","733,718",0.71%,PPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Powell Industries, Inc",Industrials,Electrical Equipment & Parts,USA,NASD,RUT,36.41,15.39,22.23%,12.14M,7.34%,6.81B,31.23,17.95,-3.30%,9.44M,3.00%,6.31B,2.36,4.07,80.21%,12.21%,68.36%,187.37M,6.11,10.87%,-23.55%,4.38,85.03%,1.11B,10.17,8.93%,18.67%,1.15M,75.81%,55.10,13.59,13.21%,32.16%,612.50 -8.50%,185.56%,41.25,42.14,134.62% 59.82%,27.99%,152.89 266.58%,1261.00%,1.08 (0.19%),26.93,27.52% 16.32%,30.15%,6.43%,5.85%,1699.23%,1.07 (0.19%),5.66,16.01%,20.33%,31.71,1778.22%,"Feb 18, 2026",2.08,5.12%,16.82%,61.03,2.50,0.95% 0.57%,2.29,18.95%,7.69%,0.82,500.75,7.19%,0.00,4.04%,11.81%,0.96,542.59,3458,0.00,Feb 03 AMC,64.57%,263.12K,560.46,"Mar 17, 1980",Yes / Yes,16.64% -2.06%,"

","252,821",3.29%,POWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Integrations Inc,Technology,Semiconductors,USA,NASD,RUT,129.45,0.39,2.34%,55.34M,6.68%,2.82B,27.58,1.84,-3.22%,54.21M,11.50%,2.59B,1.33,0.23,107.83%,8.24%,38.90%,22.09M,6.36,3.52%,3.84%,4.85,18.03%,443.50M,4.18,42.35%,2.76%,4.47M,42.97%,12.16,11.30,20.74%,3.11%,60.12 -15.49%,-9.99%,4.50,32.37,-48.83% -19.63%,3.21%,30.86 64.65%,-39.02%,0.86 (1.69%),41.08,-12.02% -1.91%,54.49%,5.14%,4.79%,-35.56%,0.84 (1.66%),5.84,-30.41%,7.89%,2.28,110.00%,"Feb 27, 2026",4.14,5.86%,4.98%,62.86,1.33,5.27% 14.87%,6.51,49.03%,7.09%,1.34,51.00,214.18%,0.03,-1.94%,9.91%,1.14,47.58,877,0.02,Feb 05 AMC,13.44%,921.69K,50.81,"Dec 12, 1997",Yes / Yes,21.05% 0.09%,"

","1,049,973",6.79%,POWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Holdings Inc,Consumer Defensive,Packaged Foods,USA,NYSE,-,17.73,5.41,13.89%,47.96M,-0.94%,4.60B,11.54,8.32,-0.25%,41.29M,-9.34%,11.79B,1.22,1.79,99.71%,12.75%,-4.77%,319.20M,0.55,2.25%,-4.28%,6.36,-6.47%,8.36B,1.33,12.58%,2.47%,5.26M,-3.06%,72.09,16.17,9.47%,8.69%,119.85 -19.88%,-13.88%,5.94,10.56,-23.04% 244.23%,2.92%,95.07 1.00%,7.84%,-,8.25,11.72% 7.44%,26.26%,1.86%,2.22%,42.31%,-,1.41,-10.94%,10.44%,2.41,116.73%,-,1.02,5.38%,3.82%,33.09,1.40,- -,1.90,-3.91%,-5.51%,0.45,130.12,0.00%,2.16,10.12%,-6.61%,0.87,97.35,13180,2.16,Feb 05 AMC,-8.54%,828.31K,96.02,"Jan 27, 2012",Yes / Yes,25.73% 0.24%,"

","721,217",-1.37%,POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland General Electric Co,Utilities,Utilities - Regulated Electric,USA,NYSE,RUT,18.63,2.76,0.95%,126.41M,-3.76%,6.51B,14.41,3.57,-0.41%,125.21M,-4.03%,11.69B,1.96,1.07,88.89%,2.31%,7.90%,306.00M,1.93,11.84%,1.86%,2.26,20.73%,3.37B,1.44,4.78%,2.33%,2.89M,7.29%,35.77,85.64,7.34%,7.72%,54.39 -5.33%,18.59%,0.60,-,2.06% 9.83%,3.28%,39.54 30.21%,9.23%,2.18 (4.24%),10.32,10.29% 10.15%,33.68%,2.56%,1.94%,10.02%,2.10 (4.08%),3.47,-8.52%,16.42%,1.11,30.95%,"Mar 23, 2026",0.95,6.50%,9.07%,43.90,2.93,5.13% 5.65%,1.08,2.10%,-2.69%,0.66,52.15,75.09%,1.27,7.83%,-0.31%,0.70,50.89,2877,1.26,Feb 17 BMO,11.53%,1.28M,51.49,"Apr 03, 2006",Yes / Yes,-16.65% 0.53%,"

","892,407",1.18%,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool Corporation,Industrials,Industrial Distribution,USA,NASD,S&P 500,18.76,10.83,3.10%,36.58M,-3.56%,7.48B,17.04,11.93,0.81%,35.65M,-6.98%,8.91B,2.50,1.35,101.28%,10.00%,-12.40%,404.42M,1.41,2.68%,-3.38%,4.28,-34.99%,5.29B,6.27,8.27%,11.56%,3.56M,-11.15%,32.40,71.23,6.82%,32.90%,345.00 -41.09%,-37.64%,2.85,24.16,-16.60% 3.86%,15.54%,197.68 2.81%,-37.51%,4.03 (1.98%),14.10,-5.05% 6.09%,29.73%,2.67%,3.05%,-40.24%,5.00 (2.46%),1.68,-4.23%,10.97%,7.11,137.40%,"Mar 12, 2026",0.59,-0.41%,7.65%,34.62,2.31,9.21% 16.67%,2.24,-12.90%,-4.22%,1.26,266.09,45.64%,1.30,-0.53%,-14.87%,0.71,205.26,6000,1.20,Feb 19 BMO,-25.81%,832.81K,203.24,"Oct 13, 1995",Yes / Yes,-13.76% -1.71%,"

","593,247",-0.98%,POOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pony AI Inc. ADR,Technology,Information Technology Services,China,NASD,-,-,-0.94,15.06%,352.45M,0.36%,3.94B,-,-0.55,0.00%,299.36M,-17.17%,3.52B,-,-0.05,24.00%,6.52%,-29.80%,-338.00M,40.91,82.14%,-0.93%,4.74,-45.57%,96.40M,4.89,-28.62%,-30.54%,19.51M,-22.83%,2.29,8.84,41.10%,-33.58%,24.92 -55.10%,-15.29%,1.27,-,-6.78% -,-41.65%,4.11 172.26%,-,-,-,109.81% -,18.57%,4.24%,5.49%,-,-,36.55,-105.88%,-373.31%,0.74,-,-,7.04,4.27%,-350.64%,36.81,1.15,- -,7.04,-,-9.93%,6.10,23.05,-,0.02,-,-19.00%,1.04,11.04,1460,0.01,Mar 26 BMO,-26.29%,4.12M,11.19,"Nov 27, 2024",Yes / Yes,- 10.62%,"

","4,264,851",1.36%,PONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insulet Corporation,Healthcare,Medical Devices,USA,NASD,S&P 500,64.42,3.50,0.45%,70.39M,-2.16%,15.87B,27.82,8.11,1.75%,70.08M,-9.58%,16.16B,1.02,1.20,101.81%,4.02%,-22.14%,247.10M,5.86,27.45%,1.48%,2.89,-32.71%,2.71B,10.48,27.99%,7.87%,2.82M,-20.67%,21.53,22.17,27.26%,18.12%,354.88 -36.46%,-17.71%,10.17,42.03,275.33% 102.14%,9.90%,216.49 4.16%,-27.30%,-,27.53,27.54% 24.53%,72.17%,2.64%,3.18%,-14.46%,-,5.97,-41.15%,17.50%,8.33,628.12%,-,2.11,30.73%,9.12%,35.72,1.39,- -,2.78,3.91%,-4.48%,1.44,356.83,0.00%,0.66,31.18%,-10.00%,0.56,227.08,5400,0.65,Feb 18 BMO,-23.86%,975.62K,225.50,"May 15, 2007",Yes / Yes,5.59% 1.93%,"

","546,984",-0.70%,PODD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric,USA,NYSE,S&P 500,19.37,5.06,0.28%,120.90M,-4.56%,11.84B,17.50,5.60,0.00%,120.56M,-1.69%,26.17B,2.72,-0.08,100.65%,5.24%,12.16%,616.53M,2.22,-7.05%,3.24%,4.84,13.52%,5.34B,1.68,19.20%,2.09%,6.32M,10.39%,58.28,1201.93,6.43%,8.93%,103.97 -5.82%,5.19%,0.08,-,5.83% 0.73%,3.11%,85.32 14.76%,26.81%,3.73 (3.81%),13.52,7.28% 8.28%,22.56%,2.02%,1.98%,23.02%,3.61 (3.69%),4.90,-3.72%,18.10%,1.98,33.24%,"Feb 02, 2026",0.31,4.20%,11.55%,44.00,2.76,1.72% 2.51%,0.49,311.06%,-2.86%,0.49,105.27,71.12%,2.03,2.99%,0.83%,0.71,97.57,94,1.81,Feb 25 BMO,6.96%,1.31M,97.92,"Aug 28, 1961",Yes / Yes,175.42% -3.61%,"

","929,803",0.36%,PNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
